feature,type,train_mean,test_mean,ks_statistic,p_value,shift_detected
age,numerical,20.961,21.044545454545453,0.02903030303030303,0.49577797025751763,False
height_cm,numerical,172.16289999999998,171.86072727272727,0.032606060606060604,0.35043992117747863,False
weight_kg_baseline,numerical,65.05183333333333,64.72990909090909,0.022393939393939393,0.8043575548695079,False
years_playing,numerical,5.939666666666667,6.107272727272727,0.038363636363636364,0.18156813182358597,False
prior_season_injury_count,numerical,0.604,0.6036363636363636,0.0033333333333333335,1.0,False
sport,categorical,,,6.466932367033073,0.2633966149175542,False
gender,categorical,,,0.12243101084054339,0.7264126736731771,False
position,categorical,,,34.58214323158374,0.0028189630271793055,True
dominant_side,categorical,,,6.138369702921466,0.01322792164022259,True
