sport,athlete_count,injury_prevalence,roc_auc,f1_score,brier_score,onset_mae,recovery_mae
Athletics,516,0.32170542635658916,0.763631669535284,0.6255144032921811,0.14370009414982152,3.0542168674698793,2.6987951807228914
Badminton,523,0.3652007648183556,0.784977606762127,0.7023411371237458,0.1407829158936768,2.350785340314136,2.701570680628272
Basketball,477,0.36268343815513626,0.7591078491025252,0.6641221374045801,0.14738118637723063,2.578034682080925,3.4161849710982657
Football,528,0.36363636363636365,0.7415519593253969,0.6360424028268551,0.15377430667874334,2.859375,3.1666666666666665
Tennis,498,0.3253012048192771,0.7658362727807172,0.6612903225806451,0.13814794833513858,2.3333333333333335,2.882716049382716
Volleyball,458,0.3624454148471616,0.7551576167684438,0.6770428015564203,0.14789938868290237,2.6987951807228914,2.897590361445783
